,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-08-13,5.523094470583494,3.21113460456173,3.820337664271744,3.274064845179078,3.173259839764904,4.1828360690344235,3.522732794876611,3.766804583635341,3.2318950303610454,3.0355161011916194,4.36372928447821,3.9529389408483167
2018-08-14,5.529454336855509,3.2195343299299717,3.8274264239835363,3.276483492162383,3.182602430360866,4.189771950400509,3.5288836781480546,3.7737301905708382,3.235836657311936,3.037587120728726,4.368402852190511,3.962611144788696
2018-08-15,5.521959084772129,3.2035310322903308,3.813403178448228,3.2409655506946984,3.174702732183347,4.184975082413985,3.519848999771654,3.7778254101921673,3.2445727800222937,3.0467606116553703,4.366736033472659,3.9503498731052105
2018-08-16,5.530017770249896,3.209583748234927,3.8129937066577404,3.2481702299357953,3.1879526111003043,4.197583918067073,3.5242395491970493,3.7920284636173944,3.252340940987707,3.0575114087529154,4.376473831809206,3.955254521476281
2018-08-17,5.5335321753651705,3.216970094712205,3.808273198176192,3.250652763464715,3.1900848826539017,4.203632710761972,3.525744822486994,3.799691430263433,3.261819712088829,3.062660408126442,4.379552319823952,3.9561439956325426
2018-08-20,5.535669854866895,3.2239625815433457,3.8099178191120853,3.2573783835286987,3.1932748675761693,4.2102962235851376,3.5242395491970493,3.799145890511167,3.2629982750907307,3.0591694396452964,4.382840550485872,3.9632294201262384
2018-08-21,5.538012272272656,3.2278639359941166,3.8160603300800524,3.2624271723683265,3.1971594840449074,4.217691719934864,3.5258814409731247,3.7920284636173944,3.253828111661515,3.0519653012331087,4.382840550485872,3.971140575392341
2018-08-22,5.537418787526148,3.222772185368808,3.8148347585328723,3.2743338888351814,3.193628439584463,4.20794938893928,3.5288836781480546,3.7857816090451992,3.247567759670979,3.0445220744188557,4.383824791190921,3.9721907645117454
2018-08-23,5.5360895409158895,3.2159429086865123,3.810739285251435,3.2696151061081107,3.1890193151997424,4.205073788720148,3.53106184137757,3.783383107174965,3.245172523699661,3.0437745683008512,4.383497072520278,3.9712281632508213
2018-08-24,5.542090229727745,3.2288792579189023,3.825204009390566,3.276886091863002,3.1925665650210426,4.209383924070131,3.541074311198682,3.782088998841734,3.252043403638376,3.0480644615839223,4.388296704854998,3.9770769262180865
2018-08-27,5.549954533948582,3.2424847742166314,3.8348659795120836,3.284237457245253,3.2059332378650267,4.221948710278052,3.5501871051539005,3.7826437473515195,3.250553722279392,3.0419034002785836,4.391881442456106,3.983497191251941
2018-08-28,5.550437642735085,3.2386403792649463,3.8304491719049496,3.2799667183629153,3.2048842788383514,4.2198870833840445,3.551919644792711,3.779310456449595,3.2627039653458914,3.0398414922843098,4.392423336545879,3.985484373576455
2018-08-29,5.555803961421511,3.2461483823086645,3.836067013260276,3.2861001452717256,3.204534664957704,4.220660537544379,3.560934799959176,3.7804229914682033,3.261229653344014,3.047133274886607,4.398904764237418,3.9966422514986197
2018-08-30,5.551747373609826,3.2342765655490204,3.8298450380911433,3.2833048105117393,3.1968069245439157,4.213676464677394,3.557894994916859,3.777267894220272,3.2559061920035663,3.0475057992916934,4.398151121572253,3.9909072758834303
2018-08-31,5.551781835756094,3.231244165278893,3.8199312736715965,3.275543582195988,3.1957488119535316,4.214325272548168,3.5586888363144875,3.776896451701446,3.2597538236795613,3.0432135945302563,4.397935543235136,3.9948480935714255
2018-09-04,5.550057746443507,3.2243025863871364,3.8074504652332744,3.273391883063156,3.200678104088674,4.213546788015078,3.5548453760473464,3.775593566376791,3.2508519248076766,3.047692054736095,4.389927431775084,3.996727423761325
2018-09-05,5.5473626648180545,3.2309063620667766,3.794394243301898,3.272044743358409,3.201380453547455,4.220660537544379,3.5422851853465134,3.7870711235228387,3.2570916675339037,3.0615592425548215,4.393939833548034,3.9859157182963885
2018-09-06,5.54434847720945,3.232929816750216,3.7868567954528354,3.2534032945079585,3.1968069245439157,4.22374905605043,3.5349977378482507,3.7898283880335244,3.260344826830867,3.0672355462363505,4.393939833548034,3.983151209401383
2018-09-07,5.542402936782519,3.2263390554522844,3.788956164267033,3.253266047001325,3.1957488119535316,4.220660537544379,3.53160553006969,3.7878070455904878,3.247567759670979,3.0549270226301335,4.395453563791515,3.983064730762814
2018-09-10,5.544140024144611,3.2275254426251583,3.791051565487506,3.2528538964433085,3.1946893440897246,4.225802521520831,3.534726851041624,3.791295384521269,3.252935971449955,3.0599052620131917,4.392857017850142,3.9867781331566308
2018-09-11,5.547432247606227,3.2295555921048025,3.801047287026741,3.2622912309314835,3.1957488119535316,4.225546166401911,3.543226110808607,3.787622943039577,3.2532335382537227,3.0573271527755628,4.391989750346555,3.994762761084576
2018-09-12,5.547674381755913,3.230062561587541,3.798142153545077,3.2674505262578126,3.1865287242603855,4.228619433102951,3.539052702086992,3.799145890511167,3.2541250448944186,3.056404555511088,4.396965006118598,3.9966422514986197
2018-09-13,5.55357140527648,3.2339400107719296,3.805182988730153,3.26785685100741,3.185102728160779,4.234611133569989,3.5507206067027397,3.7976897752074645,3.260344826830867,3.0639437933156923,4.4092956842052775,3.9983479591390716
2018-09-14,5.553743390167528,3.2336032675090247,3.8033238096466513,3.273122441281814,3.1922126172977285,4.239555494614272,3.549920521568863,3.794954560048652,3.2517454824264416,3.0586170382250524,4.405986557037313,3.994591793272889
2018-09-17,5.5484347726669805,3.237131855619781,3.7935596637242983,3.2747370661258928,3.1879526111003043,4.23993470948791,3.5372977062252757,3.7985999675255453,3.2573877802544975,3.0619263432322867,4.402344935896106,3.9821124027894483
2018-09-18,5.5538464487258,3.2381377409644894,3.8006329792573363,3.281303306997914,3.1929207790101684,4.248995823001756,3.5436290306982423,3.7944064293052775,3.2514478416757413,3.0600892224603364,4.408122814727365,3.994762761084576
2018-09-19,5.554911513380295,3.2489703929735563,3.8033238096466513,3.2843707338046366,3.2097692389143213,4.248118496982705,3.541074311198682,3.79257755509551,3.2418696970401637,3.0381511674003687,4.406734785056794,3.995190403803682
2018-09-20,5.562982355215323,3.2596865888566438,3.814221366972732,3.284637019332813,3.2184333747066405,4.249622122401499,3.552851880470095,3.805128993058963,3.2493603921387693,3.0402166512545667,4.416410314598635,4.0020050733715395
2018-09-21,5.562068397188263,3.257526004697519,3.809741292346295,3.291223313168292,3.2145437927986125,4.25606798903082,3.5488923095714546,3.8067297109538507,3.249360170128994,3.044466123940101,4.417758210839943,3.9975760861915663
2018-09-24,5.558741061489823,3.243391047607211,3.809741292346295,3.3057638523723405,3.2033470153503356,4.238794432108809,3.5538392464495354,3.7913448814793895,3.2295578566066157,3.035568888948831,4.4197717875307045,3.9910545537650863
