,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-13,299.702880859375,26.610923767089844,52.388160705566406,23.066930770874023,27.482872009277344,75.53077697753906,45.30916976928711,53.490318298339844,31.736860275268555,26.668302536010742,92.58629608154297,60.07460021972656
2020-01-14,299.2460021972656,26.50068473815918,52.25643539428711,23.07078742980957,27.42951202392578,75.53984069824219,45.095741271972656,53.50728225708008,31.582672119140625,26.74650764465332,93.1466293334961,60.05564498901367
2020-01-15,299.9222412109375,26.681476593017578,52.510467529296875,22.901147842407227,27.2783145904541,75.65750885009766,45.147911071777344,53.88893508911133,31.801759719848633,27.121074676513672,93.95101165771484,59.91818618774414
2020-01-16,302.41717529296875,26.840206146240234,52.9150505065918,22.939697265625,27.51845359802246,76.408935546875,45.755008697509766,54.033103942871094,32.085784912109375,27.28983497619629,94.43907928466797,60.45381164550781
2020-01-17,303.35833740234375,26.95926856994629,53.329036712646484,22.793193817138672,27.598506927490234,76.41801452636719,46.06329345703125,54.126407623291016,32.12636184692383,27.47917938232422,94.43907928466797,60.667110443115234
2020-01-21,302.7643127441406,26.668243408203125,53.28199005126953,22.384525299072266,27.36725616455078,75.57604217529297,46.044334411621094,54.31298065185547,32.45095443725586,27.730255126953125,94.53849792480469,60.482242584228516
2020-01-22,302.8008728027344,26.562419891357422,53.25376510620117,22.168615341186523,27.447303771972656,75.17771911621094,46.2103271484375,54.35539245605469,32.19126892089844,27.81669044494629,94.656005859375,60.45381164550781
2020-01-23,303.1481628417969,26.53154945373535,53.037349700927734,22.083797454833984,27.37615203857422,75.99249267578125,46.428497314453125,54.304500579833984,32.499637603759766,28.06366729736328,94.17699432373047,60.54386901855469
2020-01-24,300.4522705078125,26.341947555541992,52.3975715637207,21.8293399810791,27.02927589416504,75.63941955566406,46.2103271484375,53.93133544921875,32.45095443725586,28.137746810913086,92.60435485839844,59.70014190673828
2020-01-27,295.6361389160156,25.77313232421875,51.57899856567383,21.224042892456055,26.611248016357422,74.20901489257812,45.10996627807617,53.761722564697266,32.31300354003906,28.06778335571289,91.89938354492188,58.80903625488281
2020-01-28,298.7341613769531,26.064151763916016,52.1717529296875,21.320425033569336,26.922550201416016,74.6888198852539,45.97317886352539,53.82956314086914,32.39414978027344,28.18303108215332,92.35128021240234,59.382564544677734
2020-01-29,298.4874572753906,26.147930145263672,52.08707809448242,21.096818923950195,26.878070831298828,75.087158203125,46.09174728393555,53.558162689208984,32.22373580932617,28.25712013244629,92.09820556640625,59.34939193725586
2020-01-30,299.45611572265625,25.984783172607422,51.560184478759766,21.26645278930664,27.216053009033203,75.16864776611328,46.49016189575195,54.19424819946289,32.29677200317383,28.520549774169922,91.42941284179688,59.24985122680664
2020-01-31,294.0186462402344,25.411558151245117,50.722808837890625,20.603317260742188,26.646833419799805,73.43042755126953,45.21431350708008,53.58361053466797,31.834230422973633,28.39295196533203,89.60371398925781,59.40153121948242
2020-02-03,296.2027587890625,25.945096969604492,51.32495880126953,20.33344268798828,26.833600997924805,73.40328979492188,45.811920166015625,53.58361053466797,31.866697311401367,28.483503341674805,90.4171371459961,59.82338333129883
2020-02-04,300.71722412109375,26.40367889404297,51.86125564575195,20.406696319580078,27.091533660888672,74.78840637207031,47.01187515258789,53.90589141845703,32.280540466308594,28.199495315551758,92.0078353881836,60.913578033447266
2020-02-05,304.18988037109375,26.893125534057617,51.945945739746094,21.173921585083008,27.634078979492188,76.03776550292969,47.28697204589844,54.338417053222656,32.256195068359375,28.314748764038086,93.77930450439453,61.22168731689453
2020-02-06,305.2135314941406,26.879899978637695,52.59515380859375,20.95802116394043,27.598506927490234,76.28219604492188,47.71858215332031,54.43170928955078,32.39414978027344,28.32297706604004,93.86065673828125,61.084224700927734
2020-02-07,303.5868225097656,26.49627685546875,52.557518005371094,20.811508178710938,27.50066566467285,75.72996520996094,47.282230377197266,54.499576568603516,32.410377502441406,28.232423782348633,93.12857055664062,60.818782806396484
2020-02-10,305.8531799316406,26.483043670654297,52.86800765991211,20.707414627075195,27.58071517944336,76.15544128417969,47.922515869140625,54.72854995727539,32.78365707397461,28.339439392089844,93.62564849853516,61.50608444213867
2020-02-11,306.38330078125,26.628557205200195,52.811553955078125,20.93874168395996,27.67854881286621,76.44515228271484,47.76127624511719,54.525020599365234,33.1812744140625,28.442337036132812,94.18603515625,61.989566802978516
2020-02-12,308.3572082519531,26.774072647094727,53.49839401245117,21.22018814086914,27.69633674621582,77.16036987304688,48.27824020385742,54.499576568603516,33.39225769042969,28.462928771972656,94.30350494384766,62.62472152709961
2020-02-13,308.02825927734375,26.677061080932617,53.5078125,21.154644012451172,27.687442779541016,76.72579193115234,48.15018081665039,54.82184982299805,33.59514617919922,28.779861450195312,93.86065673828125,62.51570129394531
2020-02-14,308.521728515625,26.681476593017578,53.57365798950195,21.042837142944336,27.7230167388916,76.62623596191406,48.35886001586914,54.949066162109375,33.984649658203125,28.973325729370117,93.93295288085938,62.420894622802734
2020-02-18,307.7265930175781,26.615331649780273,53.93118667602539,20.869346618652344,27.482872009277344,76.19168090820312,48.17863845825195,54.754005432128906,33.952186584472656,29.216171264648438,93.5985336303711,62.41615676879883
2020-02-19,309.1980285644531,26.685880661010742,54.17583465576172,21.14693260192871,27.687442779541016,76.16450500488281,48.75252151489258,54.694618225097656,33.47340393066406,28.899234771728516,94.03236389160156,62.695838928222656
